Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
11524,117.90690865789054,328.0,29363.36,1396.38,27966.98,29912.0,91.19512195,89.52243902,1.6726829300000077,1.83,7,2,0,0,0
2024,117.90690865789054,320.0,26957.99,1281.37,25676.620000000003,27200.0,85.0,84.24371875,0.7562812500000007,0.89,9,2,0,1,0
11524,117.90690865789054,1.0,155.0,7.38,147.62,155.0,155.0,155.0,0.0,0.0,3,2,0,1,0
11524,90.86722134861245,6405.0,315555.1,15001.87,300553.23,317692.0,49.60062451,49.26699454,0.33362997000000405,0.67,11,2,0,0,1
1925,117.90690865789054,68.0,1766.99,84.06,1682.93,3990.0,58.67647059,25.98514706,32.691323530000005,55.71,10,2,0,0,0
11524,69.3944474796302,220.0,12012.37,570.65,11441.720000000001,13140.0,59.72727273,54.60168182,5.12559091,8.58,2,2,0,0,0
11524,117.90690865789054,104.0,61842.03,2944.07,58897.96,62832.0,604.1538462,594.6349038,9.518942400000014,1.58,2,2,0,0,0
11524,117.90690865789054,31.0,3849.0,171.6,3677.4,3849.0,124.1612903,124.1612903,0.0,0.0,2,1,0,0,0
1138,99.24675432894527,42.0,7552.22,359.57,7192.650000000001,7560.0,180.0,179.8147619,0.1852380999999923,0.1,9,3,0,0,0
2024,117.90690865789054,244.0,19101.53,2912.6,16188.929999999998,20290.0,83.1557377,78.28495902,4.870778680000001,5.86,9,2,0,1,0
11524,88.50815312412598,198.0,16936.06,805.61,16130.45,17250.0,87.12121212,85.53565657,1.5855555499999952,1.82,6,3,0,0,0
1659,167.3761602112982,120.0,90051.0,4287.75,85763.25,90051.0,750.425,750.425,0.0,0.0,11,1,1,0,0
2365,56.7896619561171,154.0,9214.91,437.73,8777.18,9240.0,60.0,59.83707792,0.1629220800000013,0.27,11,1,0,1,0
11524,117.90690865789054,2.0,110.0,16.76,93.24,110.0,55.0,55.0,0.0,0.0,5,3,0,1,0
4778,117.90690865789054,1819.23,166326.63,0.0,166326.63,169437.37,93.1368601,91.42693887,1.7099212300000062,1.84,2,1,0,0,0
944,117.90690865789054,36.0,929.75,0.0,929.75,1776.0,49.33333333,25.82638889,23.50694444,47.65,11,2,0,0,0
